	tweet_content
0	"Thinking about the course of the Covid-19 pandemic in America, I found myself remembering Sam Smith’s history of the march to war in Iraq, told entirely in official lies. So here’s a modest attempt to do the same for the coronavirus, with statements from officials and right-wing media. I’ve grouped the statements by topic, and used chronological order within each topic.
The course of the pandemic
We think we have it very well under control. We have contained this. I won’t say airtight, but pretty close to airtight. We have done a good job in the United States.
It’s going to disappear. One day, like a miracle, it’s going to disappear. At worst — worst case scenario — it could be the flu.
We’re prepared, and we’re doing a great job with it.
It’s going to go away … when you look at the kind of numbers that you’re seeing coming out of other countries, it’s pretty amazing when you think of it."
1	"If a raggedy sand troll that grants children wishes feels like something out of a classic bedtime story, well, it is. The original conceit, by E. Nesbit, was published in 1902 as “Five Children and It,” and the children’s author Jacqueline Wilson updated the story in 2012 with “Four Children and It” to be about a blended family. Andy de Emmony’s film adapts the latter but has made the household mixed race, added teen angst and wrapped it all into a dull, family-friendly package.
Matthew Goode and Paula Patton play newly dating divorced parents who ambush their respective kids (Ros and Robbie; Smash and Maudie) with a get-to-know-you beach vacation in Cornwall. While there, the children stumble upon a magical creature called the Psammead, which is distractingly voiced by Michael Caine and looks like a cross between E.T. and the Grinch. A cringey Russell Brand hams it up as a local aristocrat who has his own villainous designs on the wish-granter."
2	"Beatrice Ajaero grew up on Roosevelt Island, where she still lives, and has an African food and gift stall, Ibari, which she opened after obtaining a law degree and an M.B.A., in the Saturday market. Her new store, Nneji, in Astoria, Queens, has a limited menu, for takeaway, featuring West African red stew with chicken, peppery yassa with chicken, egusi melon seed and spinach soup with salmon, and a spinach and okra dish. Fonio, basmati rice and garri, which is cassava with a couscouslike texture, can be added. There are salads and occasional tagines. “I always wanted to share the tastes of my childhood,” said Ms. Ajaero, 29, whose family is Nigerian and who studied the Nigerian language Igbo, African history and political science. The name of the store means “mother” in Igbo.
Nneji, 32-20 34th Avenue, Astoria, Queens, 917-832-7338, nneji.business.site.
Follow NYT Food on Twitter and NYT Cooking on Instagram, Facebook and Pinterest. Get regular updates from NYT Cooking, with recipe suggestions, cooking tips and shopping advice."
3	"(Reuters) - Netflix Inc will allocate 2%, or about $100 million, of its cash holdings to financial institutions and organizations that directly support African American communities in the United States, the streaming giant said on Tuesday.
The company said https://media.netflix.com/en/company-blog/building-economic-opportunity-for-black-communities in a blog post it will start with $35 million, of which $25 million will be moved to a new fund, ""Black Economic Development Initiative"", and $10 million will go to Hope Credit Union for creating opportunity in underserved communities.
The move comes as U.S. companies face increasing pressure from investors, consumers and workers to take action against widespread racial inequality after the death of African American George Floyd in police custody.
""This capital will fuel social mobility and prosperity in the low- and moderate-income communities these groups serve,"" Netflix said on Tuesday."
4	"The F.B.I. has issued a warning about scammers who advertise fraudulent Covid-19 antibody tests as a way to obtain personal information that can be used for identity theft or medical insurance fraud.
The warning, issued Friday, is the latest in a series of alerts from the federal government about fraudulent exploitation of the coronavirus pandemic.
Scammers are advertising the fake or unapproved tests — which could provide false results — online, through social media or email, or in person or over the phone, the F.B.I. said. They could claim that the tests were approved by the Food and Drug Administration, as well as advertise free Covid-19 antibody tests or provide incentives for testing.
The Federal Bureau of Investigation recommends that those looking to take an antibody test — which is used to determine whether a person has had the coronavirus — consult a list of tests and testing companies that the Food and Drug Administration has approved. These tests have been evaluated in a study performed at the National Institutes of Health’s cancer institute or by another F.D.A. designated government agency."
5	"[An insurgent wave upended House primaries as Engel fell behind.]
Why is there a delay in the results?
In April, Gov. Andrew M. Cuomo expanded access to absentee ballots, fearing that making people go to polling stations would increase their exposure to the coronavirus. The nearly two million ballots sent out by the state’s Board of Elections won’t be fully counted till next week, at the earliest. So Election Day has become Election Week, as my colleague Jonathan Martin put it.
What do the current returns say about the liberal wave that elected Ms. Ocasio-Cortez to Congress in 2018?
That wave continues to crest and shows no sign of ebbing. (Forgive the aquatic metaphor, but it is too swell to avoid.) The generation of centrist Democrats — in the mold of Bill Clinton, and, to an extent, Mr. Cuomo — is facing a serious challenge in an age in which younger, less transactional politicians are in vogue and, increasingly, in power.
What is the state of New York’s Democratic Party?
Dominant. Democrats control the governor’s mansion, both houses of the Legislature and the New York City Council, and make up most of the congressional delegation. Republicans haven’t won a statewide race since 2002, and 2022 — when a very popular Mr. Cuomo seems likely to run for a fourth term — doesn’t exactly seem like a slam dunk for them either.
What can we expect in November?
Most of these congressional seats are safely Democratic, so the winners of the primary will be elected to Congress, barring something nutty. But considering how 2020 has been going thus far, I suppose anything is possible."
6	"There have been at least 2,870 cases of coronavirus in West Virginia, according to a New York Times database. As of Tuesday morning, at least 93 people had died.
Cases in West Virginia Total cases Deaths Per capita Hot spots Share of population with a reported case No cases reported How the number of new cases has changed in the last two weeks Falling About the same Rising → Few or no cases Double-click to zoom into the map. Use two fingers to pan and zoom. Tap for details. Sources: State and local health agencies and hospitals. About this data For total cases and deaths: The map shows the known locations of coronavirus cases by county. Circles are sized by the number of people there who have tested positive or have a probable case of the virus, which may differ from where they contracted the illness. For per capita: Parts of a county with a population density lower than 10 people per square mile are not shaded. For hot spots: The map shows where the average number of reported cases over the past two weeks is increasing, decreasing or about the same. Counties with an increase in the rate of cases are shaded darker. Counties with fewer than 20 cases over the past two weeks and parts of a county with a population density lower than 10 people per square mile are not shaded
Cases by county Cases Per 100,000 Deaths Per 100,000 WHEN CASES WERE... FALLING FLAT RISING DOWN UP West Virginia 2,870 160 93 5 Mar. 1 June 29 Berkeley 454 381 10 8 Kanawha 309 173 20 11 Jefferson 224 392 4 7 Monongalia 171 162 5 5 Randolph 156 544 — — Jackson 143 500 18 63 Cabell 122 133 — — Wayne 111 282 9 23 Ohio 89 215 1 2 Wood 86 103 2 2 Show all About this data The change in cases shows the change in the average number of newly reported cases over the previous 14 days. Areas with an increasing number of cases are shaded darker for larger increases when adjusted for population. Change in cases is not shown for counties with fewer than 20 cases.
In the tallies shown on this page, The Times is now including cases that have been identified by public health officials as probable coronavirus patients.
The New York Times is engaged in a comprehensive effort to track details about every reported case in the United States, collecting information from federal, state and local officials around the clock. The numbers in this article are being updated several times a day based on the latest information our journalists are gathering from around the country.
We’re tracking what has reopened in West Virginia »
New reported cases by day in West Virginia 0 50 100 cases March April May June 7-day average New cases Note: The seven-day average is the average of a day and the previous six days of data.
New reported deaths by day in West Virginia 0 5 10 deaths March April May June 7-day average New deaths Note: Scale for deaths chart is adjusted from cases chart to display trend.
The New York Times has found that official tallies in the United States and in more than a dozen other countries have undercounted deaths during the coronavirus outbreak because of limited testing availability."
7	"This surprisingly tender vegan chocolate cake is made entirely in an 8-by-8-inch baking pan: Just toss in the ingredients, stir until you don’t see any flour streaks, then bake. For flourish, add a small handful of chocolate chips before baking or sprinkle the finished cake with a little confectioners’ sugar. Adapted from Mollie Katzen’s “Honest Pretzels: And 64 Other Amazing Recipes for Kids Who Love to Cook,” this recipe was developed for kids, but adults love it, too. It’s an ideal snacking cake, or you could gussy it up with a simple ganache frosting.
Featured in: The Best Cookbooks For Kids."
8	"There’s really no need for leafy greens in a big, meaty citrus salad. The first step is to acquire a range of fruit — citrus of different colors, sizes and shapes, with varied levels of acidity and sweetness. Cutting the fruit so you don’t lose too much juice is key: Cut the pith and peel with a knife, then slice the fruit horizontally with a sharp knife that doesn’t crush and squeeze. A simple dressing of fish sauce, sweetened with a little brown sugar, works well, especially when it’s offset with some fatty pieces of avocado and some fresh herbs.
Featured in: A Simple Citrus Salad To Brighten Up The Dead Of Winter."
9	"Lighter than traditional stew, this lemony chicken number relies on potatoes to thicken it, rather than flour or another starch. If you can, buy fennel with the stem and fronds intact so you can take full advantage of every part of the vegetable: the bulb for aromatics while building the soup, the stems for crunchy texture, and the fronds for a fresh, herblike garnish.
Featured in: Chicken Soup, But Make It Sassy."
