	vclaim	title
0	Donald Trump Claims DC Mayor ‘Wouldn’t Let The DC Police Get Involved’ With May 29 White House Protest	Donald Trump Claims DC Mayor ‘Wouldn’t Let The DC Police Get Involved’ With May 29 White House Protest
1	Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?	Were 2 Hospitals Set On Fire During George Floyd Protests In Columbus, Ohio?
2	Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests	Viral Image Claims To Show All The Lights Out At The White House During George Floyd Protests
3	Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?	Does This Photo Show The Lincoln Memorial Defaced And Damaged Following George Floyd Protests?
4	Viral Image Claims To Show Recruitment Flyer For ‘Professional Anarchist’ Job Funded By George Soros	Viral Image Claims To Show Recruitment Flyer For ‘Professional Anarchist’ Job Funded By George Soros
5	No, Ellen DeGeneres Isn’t Under House Arrest For Child Sex Trafficking	No, Ellen DeGeneres Isn’t Under House Arrest For Child Sex Trafficking
6	Is Starbucks Offering A Free Frappuccino To Anyone Who Shouts ‘Black Lives Matter’ In One Of Its Stores?	Is Starbucks Offering A Free Frappuccino To Anyone Who Shouts ‘Black Lives Matter’ In One Of Its Stores?
7	Does This Video Show Boston Police ‘Planting’ Bricks At George Floyd Protest Locations?	Does This Video Show Boston Police ‘Planting’ Bricks At George Floyd Protest Locations?
8	Does This Photo Show The Vietnam Veterans Memorial Defaced In Recent DC Protests?	Does This Photo Show The Vietnam Veterans Memorial Defaced In Recent DC Protests?
9	Was Riley Hospital For Children In Indianapolis Set On Fire During George Floyd Protests?	Was Riley Hospital For Children In Indianapolis Set On Fire During George Floyd Protests?
10	Does The ‘Squad’ Want The Bible To Be Deemed Hate Speech?	Does The ‘Squad’ Want The Bible To Be Deemed Hate Speech?
11	Viral Image Claims Bodies Infected With COVID-19 In New York Become Property Of State, Get Incinerated	Viral Image Claims Bodies Infected With COVID-19 In New York Become Property Of State, Get Incinerated
12	Did Bill Gates Admit To Profiting $200 Billion From Vaccines?	Did Bill Gates Admit To Profiting $200 Billion From Vaccines?
13	Image Claims To Show Cleaner Praying At Mecca’s Kaaba During The Coronavirus Pandemic	Image Claims To Show Cleaner Praying At Mecca’s Kaaba During The Coronavirus Pandemic
14	Did Donald Trump Re-Sign A 1952 Law Making ‘Muslamic Law’ Illegal?	Did Donald Trump Re-Sign A 1952 Law Making ‘Muslamic Law’ Illegal?
15	Was The CARES Act First Introduced In 2017?	Was The CARES Act First Introduced In 2017?
16	Does This Video Show Protesters Breaking Into The White House?	Does This Video Show Protesters Breaking Into The White House?
17	Viral Image Claims To Show Singapore Hospital Bill Sent To COVID-19 Patient	Viral Image Claims To Show Singapore Hospital Bill Sent To COVID-19 Patient
18	Is Nigerian Billionaire Aliko Dangote Giving Weekly Allowances To All Nigerian Citizens?	Is Nigerian Billionaire Aliko Dangote Giving Weekly Allowances To All Nigerian Citizens?
19	Is Washington State Forcing Those Who Don’t Comply With COVID-19 Testing Or Contact Tracing To Stay Home?	Is Washington State Forcing Those Who Don’t Comply With COVID-19 Testing Or Contact Tracing To Stay Home?
20	Did Ohio Gov Mike DeWine Release 4,300 Inmates On May 15?	Did Ohio Gov Mike DeWine Release 4,300 Inmates On May 15?
21	Did Dianne Feinstein Say, ‘One Day The American People Will Know Their Place’?	Did Dianne Feinstein Say, ‘One Day The American People Will Know Their Place’?
22	Is Floyd Mayweather Jr Giving Money To People Who Share This Video?	Is Floyd Mayweather Jr Giving Money To People Who Share This Video?
23	Did Dr Anthony Fauci Say All Americans Should Be Microchipped?	Did Dr Anthony Fauci Say All Americans Should Be Microchipped?
24	Image Claims To Show KKK Members Carrying A Trump-Pence Campaign Banner	Image Claims To Show KKK Members Carrying A Trump-Pence Campaign Banner
25	Does This Photo Show Former Minneapolis Cop Derek Chauvin At A Trump Rally?	Does This Photo Show Former Minneapolis Cop Derek Chauvin At A Trump Rally?
26	Viral Image Claims House Democrats ‘Snuck’ A Long Recess Provision Into The HEROES Act	Viral Image Claims House Democrats ‘Snuck’ A Long Recess Provision Into The HEROES Act
27	Does This Video Show A Fox News Segment Saying Trump Tested Positive For COVID-19?	Does This Video Show A Fox News Segment Saying Trump Tested Positive For COVID-19?
28	Viral Post Claims Barack Obama Wanted To Change The National Anthem To ‘I’d Like To Teach The World To Sing’	Viral Post Claims Barack Obama Wanted To Change The National Anthem To ‘I’d Like To Teach The World To Sing’
29	Have Walmart, Amazon, Kroger, Target And Costco Had No Reported COVID-19 Cases?	Have Walmart, Amazon, Kroger, Target And Costco Had No Reported COVID-19 Cases?
30	Was A Central Park Tent Hospital Housing Thousands Of Abused Children Rescued From Underground Captivity?	Was A Central Park Tent Hospital Housing Thousands Of Abused Children Rescued From Underground Captivity?
31	Did The Italian Parliament Call For The Arrest Of Bill Gates?	Did The Italian Parliament Call For The Arrest Of Bill Gates?
32	Did Bill O’Reilly Write An Essay Claiming The Coronavirus Is A Chinese Bioweapon?	Did Bill O’Reilly Write An Essay Claiming The Coronavirus Is A Chinese Bioweapon?
33	Does This Video Show Zimbabwean Police Beating Churchgoers Who Violated Coronavirus Lockdown Rules?	Does This Video Show Zimbabwean Police Beating Churchgoers Who Violated Coronavirus Lockdown Rules?
34	Does This Image Show Barack Obama’s Official White House Portrait?	Does This Image Show Barack Obama’s Official White House Portrait?
35	Viral Video Claims To Show Kitchen Worker Blowing On Food Wrappers During COVID-19 Pandemic	Viral Video Claims To Show Kitchen Worker Blowing On Food Wrappers During COVID-19 Pandemic
36	Viral Post Claims Ellen DeGeneres Is Giving Away $5,000 To 100 People Who Like And Comment On It	Viral Post Claims Ellen DeGeneres Is Giving Away $5,000 To 100 People Who Like And Comment On It
37	Viral Post Claims Flu Vaccines Can Make People Test Positive For COVID-19	Viral Post Claims Flu Vaccines Can Make People Test Positive For COVID-19
38	Did Anthony Fauci Sit On The Clinton Foundation’s Board For 20 Years?	Did Anthony Fauci Sit On The Clinton Foundation’s Board For 20 Years?
39	Does This Image Show Young Hillary Clinton With A Confederate Flag?	Does This Image Show Young Hillary Clinton With A Confederate Flag?
40	Was Joe Biden Involved In A Plot To Kidnap JFK Jr?	Was Joe Biden Involved In A Plot To Kidnap JFK Jr?
41	‘We Do Not Accept Common People In The Reins Of Power’ – Did Nancy Pelosi Say This Quote?	‘We Do Not Accept Common People In The Reins Of Power’ – Did Nancy Pelosi Say This Quote?
42	Viral Post Claims Nancy Pelosi Was In China 6 Days After Trump’s Impeachment Acquittal	Viral Post Claims Nancy Pelosi Was In China 6 Days After Trump’s Impeachment Acquittal
43	Did Germany Send China A Bill For ‘Coronavirus Damages’?	Did Germany Send China A Bill For ‘Coronavirus Damages’?
44	Viral Image Claims To Show Los Angeles County Public Health Director Looking Sickly	Viral Image Claims To Show Los Angeles County Public Health Director Looking Sickly
45	Did Tara Reade Say She Was In Love With Vladimir Putin On ‘Dr. Phil’?	Did Tara Reade Say She Was In Love With Vladimir Putin On ‘Dr. Phil’?
46	Were These Trees Cut Down To ‘Make Way For 5G’?	Were These Trees Cut Down To ‘Make Way For 5G’?
47	Did The World Health Organization Say No Vegetarian Has Contracted COVID-19?	Did The World Health Organization Say No Vegetarian Has Contracted COVID-19?
48	Does This Photo Show Gov Brian Kemp Posing With Gregory McMichael?	Does This Photo Show Gov Brian Kemp Posing With Gregory McMichael?
49	Viral Video Claims You Have To Pay Back Your Coronavirus Stimulus Payment	Viral Video Claims You Have To Pay Back Your Coronavirus Stimulus Payment
50	Does This Video Show People Celebrating The End Of Saudi Arabia’s Coronavirus Lockdown?	Does This Video Show People Celebrating The End Of Saudi Arabia’s Coronavirus Lockdown?
51	Do Only Viruses Made In Laboratories Require Vaccines?	Do Only Viruses Made In Laboratories Require Vaccines?
52	Has The Guinean Government Arrested All Chinese Nationals In The Country?	Has The Guinean Government Arrested All Chinese Nationals In The Country?
53	Were 3,000 ‘Murder Hornets’ Found Dead In South Carolina?	Were 3,000 ‘Murder Hornets’ Found Dead In South Carolina?
54	Viral Image Claims Oregon Will Take Children From Parents Who Test Positive for Coronavirus	Viral Image Claims Oregon Will Take Children From Parents Who Test Positive for Coronavirus
55	Has Bill Gates ‘Refused To Vaccinate His Children’?	Has Bill Gates ‘Refused To Vaccinate His Children’?
56	Has Nigeria Received Coronavirus Vaccines From China?	Has Nigeria Received Coronavirus Vaccines From China?
57	Did Americans Make This Video To Thank India For Sending Hydroxychloroquine?	Did Americans Make This Video To Thank India For Sending Hydroxychloroquine?
58	Is Pennsylvania Fining And Jailing People For Not Wearing Masks In Public?	Is Pennsylvania Fining And Jailing People For Not Wearing Masks In Public?
59	Did The NYT Publish An Op-Ed Comparing Kim Yo Jong To Elizabeth Warren?	Did The NYT Publish An Op-Ed Comparing Kim Yo Jong To Elizabeth Warren?
60	Did Democrats Try To Put A Ban On The Pledge Of Allegiance Into A Coronavirus Relief Bill?	Did Democrats Try To Put A Ban On The Pledge Of Allegiance Into A Coronavirus Relief Bill?
61	Does This Video Show Boris Johnson Giving Journalists Tea After Recovering From COVID-19?	Does This Video Show Boris Johnson Giving Journalists Tea After Recovering From COVID-19?
62	Can Houseflies Spread COVID-19?	Can Houseflies Spread COVID-19?
63	Can Ingesting Palm Oil Prevent COVID-19 Infection?	Can Ingesting Palm Oil Prevent COVID-19 Infection?
64	Does This Photo Show COVID-19 Relief Packages In Rwanda?	Does This Photo Show COVID-19 Relief Packages In Rwanda?
65	Did South African President Cyril Ramaphosa Order All Foreigners To Vacate The Country By June 21 Due To COVID-19?	Did South African President Cyril Ramaphosa Order All Foreigners To Vacate The Country By June 21 Due To COVID-19?
66	Do New Autopsy Reports Suggest Jeffrey Epstein Likely Died From COVID-19?	Do New Autopsy Reports Suggest Jeffrey Epstein Likely Died From COVID-19?
67	Viral Image Claims Smithfield Foods Packages Meat Products In China Before Shipping Them Back To The US	Viral Image Claims Smithfield Foods Packages Meat Products In China Before Shipping Them Back To The US
68	Does This Picture Show Joe Biden Biting A Child On The Cheek?	Does This Picture Show Joe Biden Biting A Child On The Cheek?
69	Does This Video Show The First Islamic Call To Prayer In Spain In 500 Years?	Does This Video Show The First Islamic Call To Prayer In Spain In 500 Years?
70	Does This Image Show A Crowded South African Beach During The COVID-19 Lockdown?	Does This Image Show A Crowded South African Beach During The COVID-19 Lockdown?
71	Viral Image Claims Madagascar Has Zero Cases Of Coronavirus	Viral Image Claims Madagascar Has Zero Cases Of Coronavirus
72	Does This Photo Show A Protester Holding A ‘Barack Hussein Obama = COVID’ Sign?	Does This Photo Show A Protester Holding A ‘Barack Hussein Obama = COVID’ Sign?
73	Did The NYT Use A Photo Of Coffins From An Italian Shipwreck For An Article On Coronavirus Deaths?	Did The NYT Use A Photo Of Coffins From An Italian Shipwreck For An Article On Coronavirus Deaths?
74	No, The DHS Isn’t Mobilizing The National Guard To Enforce A National Quarantine	No, The DHS Isn’t Mobilizing The National Guard To Enforce A National Quarantine
75	Did Trump Tweet He Would ‘Never Let Thousands Of Americans Die From A Pandemic’ In 2009?	Did Trump Tweet He Would ‘Never Let Thousands Of Americans Die From A Pandemic’ In 2009?
76	Did Barack Obama Say He Is ‘Not Going To Allow White People To Kill Africans With Their Toxic Vaccines’?	Did Barack Obama Say He Is ‘Not Going To Allow White People To Kill Africans With Their Toxic Vaccines’?
77	No, A Harvard Professor Was Not Arrested For Manufacturing And Selling The Coronavirus To China	No, A Harvard Professor Was Not Arrested For Manufacturing And Selling The Coronavirus To China
78	Does This Photo Show Jacksonville Beach After It Reopened This Month?	Does This Photo Show Jacksonville Beach After It Reopened This Month?
79	Did Trump Say He Was ‘Getting Calls From Hundreds Of Governors’?	Did Trump Say He Was ‘Getting Calls From Hundreds Of Governors’?
80	Did This Volunteer In A UK Coronavirus Vaccine Trial Die?	Did This Volunteer In A UK Coronavirus Vaccine Trial Die?
81	Viral Video Claims To Show Winged Creature On Dome Of Italian Church Amid The Coronavirus Pandemic	Viral Video Claims To Show Winged Creature On Dome Of Italian Church Amid The Coronavirus Pandemic
82	Does Tonic Water And Zinc Kill COVID-19?	Does Tonic Water And Zinc Kill COVID-19?
83	Did Nancy Pelosi Tweet She Was ‘Disgusted’ With Trump For ‘Allowing People To Keep More Of The Money They Earn’?	Did Nancy Pelosi Tweet She Was ‘Disgusted’ With Trump For ‘Allowing People To Keep More Of The Money They Earn’?
84	Does This Video Show Nigerians Burning Chinese-Owned Businesses ‘In Retaliation For Attacks On Africans In China’?	Does This Video Show Nigerians Burning Chinese-Owned Businesses ‘In Retaliation For Attacks On Africans In China’?
85	Viral Post Overstates How Many People Had Died From Coronavirus As Of April 9	Viral Post Overstates How Many People Had Died From Coronavirus As Of April 9
86	No, Drinking Magnesium Citrate Cannot Prevent Or Cure Coronavirus	No, Drinking Magnesium Citrate Cannot Prevent Or Cure Coronavirus
87	Did The Supreme Court Rule That Trump Can Remove Chuck Schumer From The Senate?	Did The Supreme Court Rule That Trump Can Remove Chuck Schumer From The Senate?
88	Did The Church Of The Holy Sepulchre Just Close For The First Time Since The Bubonic Plague?	Did The Church Of The Holy Sepulchre Just Close For The First Time Since The Bubonic Plague?
89	Did 7 Children Die After Being Vaccinated For Coronavirus In Senegal?	Did 7 Children Die After Being Vaccinated For Coronavirus In Senegal?
90	Was Country Singer Joe Diffie Battling Stage 4 Lung Cancer When He Died From COVID-19?	Was Country Singer Joe Diffie Battling Stage 4 Lung Cancer When He Died From COVID-19?
91	Viral Image Claims To Show WHO Lockdown Guidelines	Viral Image Claims To Show WHO Lockdown Guidelines
92	Does This Video Show Italians Praying During The Coronavirus Pandemic?	Does This Video Show Italians Praying During The Coronavirus Pandemic?
93	Viral Image Claims To Show Health Care Worker Holding ‘Don’t Let The Democrats Kill You’ Sign	Viral Image Claims To Show Health Care Worker Holding ‘Don’t Let The Democrats Kill You’ Sign
94	Is The Trump Campaign Selling ‘Make America Great Again’ Face Masks?	Is The Trump Campaign Selling ‘Make America Great Again’ Face Masks?
95	Does Inhaling Steam Infused With Certain Ingredients Cure COVID-19?	Does Inhaling Steam Infused With Certain Ingredients Cure COVID-19?
96	Viral Article Falsely Claims Nancy Pelosi’s ‘4th Husband’ Filed For Divorce	Viral Article Falsely Claims Nancy Pelosi’s ‘4th Husband’ Filed For Divorce
97	Viral Image Claims No Israelis Have Died From COVID-19 Because They Drink Lemon And Sodium Bicarbonate	Viral Image Claims No Israelis Have Died From COVID-19 Because They Drink Lemon And Sodium Bicarbonate
98	Did Donald Trump Announce A 30-Day Motorcycle Ban?	Did Donald Trump Announce A 30-Day Motorcycle Ban?
99	Are H-E-B Grocery Stores Banning Shoppers Under The Age Of 16?	Are H-E-B Grocery Stores Banning Shoppers Under The Age Of 16?
100	Did The FDA Authorize This 2-Minute COVID-19 Testing Kit?	Did The FDA Authorize This 2-Minute COVID-19 Testing Kit?
101	Viral Post Claims To Contain The Last Words Of A Doctor Who Allegedly Died From COVID-19 In Italy	Viral Post Claims To Contain The Last Words Of A Doctor Who Allegedly Died From COVID-19 In Italy
102	Did Goodwill Fire All Its Employees Amid The Coronavirus Pandemic?	Did Goodwill Fire All Its Employees Amid The Coronavirus Pandemic?
103	Does Eucalyptus Vapor Prevent COVID-19?	Does Eucalyptus Vapor Prevent COVID-19?
104	Did Trump Tweet That He Has ‘Decided To Pardon Joe Exotic’?	Did Trump Tweet That He Has ‘Decided To Pardon Joe Exotic’?
105	Are Thieves Using Face Masks Doused In Chemicals To Rob People?	Are Thieves Using Face Masks Doused In Chemicals To Rob People?
106	Did The NBA Tell Trump To ‘Resign Or We’ll Never Play Again’?	Did The NBA Tell Trump To ‘Resign Or We’ll Never Play Again’?
107	Was Joe Exotic Transferred To The Cass County Jail In Texas?	Was Joe Exotic Transferred To The Cass County Jail In Texas?
108	Did Queen Elizabeth Praise Philippine President Rodrigo Duterte In A Speech?	Did Queen Elizabeth Praise Philippine President Rodrigo Duterte In A Speech?
109	Did Venezuelans Throw Money In The Streets To Protest Health Care Amid The COVID-19 Pandemic?	Did Venezuelans Throw Money In The Streets To Protest Health Care Amid The COVID-19 Pandemic?
110	No, Morel Mushrooms Are Not The Source Of Coronavirus	No, Morel Mushrooms Are Not The Source Of Coronavirus
111	Did Patrick Mahomes Say, ‘I’ve Been Looking Forward To Meeting President Trump For A While’?	Did Patrick Mahomes Say, ‘I’ve Been Looking Forward To Meeting President Trump For A While’?
112	Did The Memphis Mayor Ban Alcohol And Tobacco Sales Amid The COVID-19 Pandemic?	Did The Memphis Mayor Ban Alcohol And Tobacco Sales Amid The COVID-19 Pandemic?
113	Is Florida’s Border ‘Officially Closed,’ As This Viral Post Claims?	Is Florida’s Border ‘Officially Closed,’ As This Viral Post Claims?
114	Does This Photo Show Magic Johnson Donating Blood To Help Coronavirus Patients?	Does This Photo Show Magic Johnson Donating Blood To Help Coronavirus Patients?
115	Viral Image Claims Catfish Are Coronavirus Carriers	Viral Image Claims Catfish Are Coronavirus Carriers
116	Viral Post Falsely Claims Everyone Can Receive Food Stamps If They Call This Number	Viral Post Falsely Claims Everyone Can Receive Food Stamps If They Call This Number
117	Viral Image Falsely Claims To Show Bodies Of People Who Died From COVID-19 In Italy	Viral Image Falsely Claims To Show Bodies Of People Who Died From COVID-19 In Italy
118	Does Sunlight Kill Coronavirus?	Does Sunlight Kill Coronavirus?
119	Did Texas Governor Greg Abbott Ban All Travelers Coming Into Texas From Louisiana?	Did Texas Governor Greg Abbott Ban All Travelers Coming Into Texas From Louisiana?
120	Did F. Scott Fitzgerald Pen This Letter While Quarantined During The Spanish Influenza?	Did F. Scott Fitzgerald Pen This Letter While Quarantined During The Spanish Influenza?
121	Viral Image Claims Illinois Banned The Sale Of Alcohol	Viral Image Claims Illinois Banned The Sale Of Alcohol
122	Does Nancy Pelosi’s Daughter Sit On The Board Of The Kennedy Center?	Does Nancy Pelosi’s Daughter Sit On The Board Of The Kennedy Center?
123	Is The British Government Sending People Fines Via Text For Violating Coronavirus Stay-At-Home Rules?	Is The British Government Sending People Fines Via Text For Violating Coronavirus Stay-At-Home Rules?
124	Did A Missing Ship Reappear Floating And Intact After Vanishing Over 90 Years Ago?	Did A Missing Ship Reappear Floating And Intact After Vanishing Over 90 Years Ago?
125	Did Ivanka Trump Say Hunter Biden ‘Accepted A Job For Which He Had Absolutely No Qualifications’?	Did Ivanka Trump Say Hunter Biden ‘Accepted A Job For Which He Had Absolutely No Qualifications’?
126	Will Indiana Governor Eric Holcomb Suspend Liquor Sales On April 5?	Will Indiana Governor Eric Holcomb Suspend Liquor Sales On April 5?
127	Is Donald Trump A Stockholder In Thermo Fisher Scientific?	Is Donald Trump A Stockholder In Thermo Fisher Scientific?
128	Did Bill Gates Write This Statement About The ‘Spiritual Purpose’ Of Coronavirus?	Did Bill Gates Write This Statement About The ‘Spiritual Purpose’ Of Coronavirus?
129	Did Nancy Pelosi Hide $25 Million For Congressional Pay Raises In The House Coronavirus Stimulus Bill?	Did Nancy Pelosi Hide $25 Million For Congressional Pay Raises In The House Coronavirus Stimulus Bill?
130	‘If A Few Senior Citizens Die, I Can Live With That’ – Did Rep. Jim Jordan Make This Comment About Coronavirus On Fox News?	‘If A Few Senior Citizens Die, I Can Live With That’ – Did Rep. Jim Jordan Make This Comment About Coronavirus On Fox News?
131	No, Coronavirus Stimulus Payments Are Not Tied To The 2020 Census	No, Coronavirus Stimulus Payments Are Not Tied To The 2020 Census
132	Is Kroger Giving People $55 If They Share A Link On Facebook?	Is Kroger Giving People $55 If They Share A Link On Facebook?
133	Did Nancy Pelosi Announce A 2-Month Suspension Of Social Security Starting In April?	Did Nancy Pelosi Announce A 2-Month Suspension Of Social Security Starting In April?
134	Viral Video Claims To Show Joe Biden Looking At Dementia Books	Viral Video Claims To Show Joe Biden Looking At Dementia Books
135	Does Avoiding Ice Cream And Other Cold Food Products Help To Prevent Contracting Coronavirus?	Does Avoiding Ice Cream And Other Cold Food Products Help To Prevent Contracting Coronavirus?
136	Did A Man Die ‘After Taking Malaria Medication Touted By Trump As Possible Cure For Coronavirus’?	Did A Man Die ‘After Taking Malaria Medication Touted By Trump As Possible Cure For Coronavirus’?
137	Did Joe Biden Say ‘People Who Have Never Died Before Are Now Dying From Corona Virus’?	Did Joe Biden Say ‘People Who Have Never Died Before Are Now Dying From Corona Virus’?
138	Does Hot Water With Lemon Kill Coronavirus?	Does Hot Water With Lemon Kill Coronavirus?
139	Viral Image Claims A Coronavirus Vaccine Is Ready	Viral Image Claims A Coronavirus Vaccine Is Ready
140	Can You Get Free Baby Formula During The COVID-19 Pandemic By Calling The Company?	Can You Get Free Baby Formula During The COVID-19 Pandemic By Calling The Company?
141	Does This Video Show A Dolphin Swimming In A Venice Canal During The Coronavirus Pandemic?	Does This Video Show A Dolphin Swimming In A Venice Canal During The Coronavirus Pandemic?
142	Did This Oxford University Student Become One Of The World’s Youngest PhDs?	Did This Oxford University Student Become One Of The World’s Youngest PhDs?
143	Viral Image Claims To Show Phone Number For Receiving Emergency Food Stamps	Viral Image Claims To Show Phone Number For Receiving Emergency Food Stamps
144	Does This Video Show Military Vehicles Arriving In New York City During The Coronavirus Pandemic?	Does This Video Show Military Vehicles Arriving In New York City During The Coronavirus Pandemic?
145	‘Our Only Hope Remains Up In The Sky’ – Did Italian Prime Minister Giuseppe Conte Say This About Coronavirus?	‘Our Only Hope Remains Up In The Sky’ – Did Italian Prime Minister Giuseppe Conte Say This About Coronavirus?
146	Did Nostradamus Predict The Coronavirus Outbreak?	Did Nostradamus Predict The Coronavirus Outbreak?
147	Did Donald Trump Say, ‘People Are Dying That Have Never Died Before’?	Did Donald Trump Say, ‘People Are Dying That Have Never Died Before’?
148	Has Coronavirus Been Found In Crab Legs?	Has Coronavirus Been Found In Crab Legs?
149	Viral Post Claims The National Guard Is Blocking Access From Florida To Georgia	Viral Post Claims The National Guard Is Blocking Access From Florida To Georgia
150	Were Crystal Pyramids Discovered In The Bermuda Triangle?	Were Crystal Pyramids Discovered In The Bermuda Triangle?
151	Did Russia Let Over 500 Lions Loose To Keep People Indoors During The Coronavirus Pandemic?	Did Russia Let Over 500 Lions Loose To Keep People Indoors During The Coronavirus Pandemic?
152	Does This Photo Show Coffins Of Italian Coronavirus Patients?	Does This Photo Show Coffins Of Italian Coronavirus Patients?
153	Viral Image Claims Florida Rep. Ted Yoho Said Black Americans Should Only Get ‘3/5ths Of A Vote’	Viral Image Claims Florida Rep. Ted Yoho Said Black Americans Should Only Get ‘3/5ths Of A Vote’
154	Viral Image Falsely Claims Oprah Winfrey Was Arrested And Her Home Raided For Sex Trafficking	Viral Image Falsely Claims Oprah Winfrey Was Arrested And Her Home Raided For Sex Trafficking
155	Did Lindsey Graham Say That Trump ‘Probably Knows More About Medicine’ Than The ‘So-Called Scientists At The NIH And CDC’?	Did Lindsey Graham Say That Trump ‘Probably Knows More About Medicine’ Than The ‘So-Called Scientists At The NIH And CDC’?
156	Did Utah Jazz Player Emmanuel Mudiay Test Positive For Coronavirus?	Did Utah Jazz Player Emmanuel Mudiay Test Positive For Coronavirus?
157	Viral Image Claims Kamala Harris Is Jussie Smollett’s Aunt	Viral Image Claims Kamala Harris Is Jussie Smollett’s Aunt
158	Do Blood Donors Automatically Get Tested For Coronavirus?	Do Blood Donors Automatically Get Tested For Coronavirus?
